,MP,MRR,MRecall,MAP
NCF_simple_metrics,4.8e-05,0.0218449,3.099999958067201e-05,0.012949000112712383
NCF_metrics,9.5e-05,0.03591,0.0001049999991664663,0.020011000335216522
